id,title,url_item,url_image,price,category
77,Bershka chelsea boot in black,https://www.asos.com/bershka/bershka-chelsea-boot-in-black/prd/21549072?colourwayid=60175483&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,29.99,sale
78,ASOS DESIGN Abigail lace up studded boots in black,https://www.asos.com/asos-design/asos-design-abigail-lace-up-studded-boots-in-black/prd/14828324?colourwayid=16647291&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,40.00,sale
79,RAID Emma ballerina flats in black,https://www.asos.com/raid/raid-emma-ballerina-flats-in-black/prd/20224132?colourwayid=60018886&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,12.99,sale
80,Koi Footwear vegan lace up chunky shoes in black,https://www.asos.com/koi-footwear/koi-footwear-vegan-lace-up-chunky-shoes-in-black/prd/21048669?colourwayid=60136596&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,35.00,sale
81,ASOS DESIGN mix & match waffle henley long sleeve pyjama top in off white,https://www.asos.com/asos-design/asos-design-mix-match-waffle-henley-long-sleeve-pyjama-top-in-off-white/grp/32999?colourwayid=60138731#21079747&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,14.00,sale
82,Gilly Hicks core lace halter bralet,https://www.asos.com/gilly-hicks/gilly-hicks-core-lace-halter-bralet/prd/10470260?colourwayid=15120665&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,14.00,sale
83,Nike Training Icon Clash Indy shimmer bra in silver metallic,https://www.asos.com/nike-training/nike-training-icon-clash-indy-shimmer-bra-in-silver-metallic/prd/20572546?colourwayid=60065258&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,34.95,sale
84,ASOS 4505 icon sports bra with strap adjusters,https://www.asos.com/asos-4505/asos-4505-icon-sports-bra-with-strap-adjusters/prd/20879724?colourwayid=60096630&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,18.00,sale
85,Nike swoosh boyfriend multi logo t-shirt in black,https://www.asos.com/nike/nike-swoosh-boyfriend-multi-logo-t-shirt-in-black/prd/14881801?colourwayid=16651564&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,26.95,sale
86,ASOS DESIGN oversized t-shirt with Nirvana print,https://www.asos.com/asos-design/asos-design-oversized-t-shirt-with-nirvana-print/prd/20555510?colourwayid=60063936&SearchQuery=&cid=7046,//images.asos-media.com/products/adidas-originals-americana-low-trainers-in-white/14132821-1-white?$n_480w$&wid=476&fit=constrain,22.00,sale
